Iteration,Phase3_ArterialPrecision,Phase3_PortalPrecision,Phase3_PreContrastPrecision,Phase3_ArterialRecall,Phase3_PortalRecall,Phase3_PreContrastRecall,Phase3_ArterialF1,Phase3_PortalF1,Phase3_PreContrastF1
57,0,0.666666666666667,0.982456140350877,0,0.857142857142857,1,0,0.75,0.991150442477876
58,0,0.75,1,0,1,1,0,0.857142857142857,1
59,0.666666666666667,0,0.966942148760331,0.4,0,1,0.5,0,0.983193277310924
60,0.833333333333333,0,0.96875,0.833333333333333,0,1,0.833333333333333,0,0.984126984126984
61,0,0.5,1,0,1,1,0,0.666666666666667,1
62,0.833333333333333,0,0.973913043478261,0.714285714285714,0,1,0.769230769230769,0,0.986784140969163
63,0,0.454545454545455,0.990740740740741,0,0.909090909090909,0.990740740740741,0,0.606060606060606,0.990740740740741
64,1,0.5625,1,0.125,1,1,0.222222222222222,0.72,1
65,1,0,0.959349593495935,0.571428571428571,0,1,0.727272727272727,0,0.979253112033195
66,0,0.444444444444444,0.983606557377049,0,0.8,1,0,0.571428571428571,0.991735537190083
67,0.666666666666667,0.636363636363636,0.991304347826087,0.333333333333333,0.777777777777778,1,0.444444444444444,0.7,0.995633187772926
68,1,0,0.945736434108527,0.555555555555556,0,1,0.714285714285714,0,0.972111553784861
69,0.8,0,0.946153846153846,0.5,0,1,0.615384615384615,0,0.972332015810277
70,0.6,0,1,1,0,1,0.75,0,1
71,1,0,0.966666666666667,0.857142857142857,0,1,0.923076923076923,0,0.983050847457627
72,0.857142857142857,0,0.974137931034483,0.857142857142857,0,1,0.857142857142857,0,0.986899563318777
73,0,0.764705882352941,1,0,1,1,0,0.866666666666667,1
74,0.333333333333333,0,0.920353982300885,0.166666666666667,0,1,0.222222222222222,0,0.95852534562212
75,1,0,0.910569105691057,0.222222222222222,0,1,0.363636363636364,0,0.953191489361702
76,0,0.428571428571429,0.991935483870968,0,0.9,0.9609375,0,0.580645161290323,0.976190476190476
77,0,0.571428571428571,0.99236641221374,0,0.923076923076923,1,0,0.705882352941177,0.996168582375479
78,1,0.7,0.96,0.571428571428571,0.583333333333333,1,0.727272727272727,0.636363636363636,0.979591836734694
79,1,0.846153846153846,1,0.5,1,1,0.666666666666667,0.916666666666667,1
80,0.333333333333333,0.692307692307692,1,0.2,0.818181818181818,1,0.25,0.75,1
81,0.666666666666667,0,0.96551724137931,0.666666666666667,0,1,0.666666666666667,0,0.982456140350877
82,0,0.727272727272727,0.991379310344828,0,0.941176470588235,1,0,0.82051282051282,0.995670995670996
83,1,0.785714285714286,1,0.25,1,1,0.4,0.88,1
84,1,0,0.959677419354839,0.6,0,1,0.75,0,0.979423868312757
85,1,0,0.967741935483871,0.4,0,1,0.571428571428572,0,0.983606557377049
86,1,0,0.974137931034483,0.6,0,1,0.75,0,0.986899563318777
87,1,0.75,0.992481203007519,0.833333333333333,0.75,1,0.909090909090909,0.75,0.99622641509434
88,1,0,0.958333333333333,0.666666666666667,0,1,0.8,0,0.978723404255319
89,0.666666666666667,0,0.991803278688525,1,0,1,0.8,0,0.995884773662551
90,1,0,0.992063492063492,0.8,0,1,0.888888888888889,0,0.99601593625498
91,1,0.615384615384615,1,0.166666666666667,1,1,0.285714285714286,0.761904761904762,1
92,0.666666666666667,0.833333333333333,0.980952380952381,0.5,0.769230769230769,1,0.571428571428572,0.8,0.990384615384615
93,0,0.736842105263158,0.991228070175439,0,0.933333333333333,1,0,0.823529411764706,0.995594713656388
94,1,0,0.94488188976378,0.5,0,1,0.666666666666667,0,0.97165991902834
95,0.857142857142857,0,0.955357142857143,0.666666666666667,0,1,0.75,0,0.97716894977169
96,1,0.666666666666667,1,0.571428571428571,1,0.991666666666667,0.727272727272727,0.8,0.99581589958159
97,0.8,0,0.973214285714286,0.8,0,1,0.8,0,0.986425339366516
98,0.857142857142857,0,0.968503937007874,0.857142857142857,0,1,0.857142857142857,0,0.984
99,1,0.714285714285714,1,0.333333333333333,1,1,0.5,0.833333333333333,1
100,0.833333333333333,0,0.95,0.714285714285714,0,1,0.769230769230769,0,0.974358974358974
101,0,0.5,0.990825688073395,0,0.909090909090909,1,0,0.645161290322581,0.995391705069124
102,1,0.631578947368421,0.982905982905983,0.125,0.857142857142857,1,0.222222222222222,0.727272727272727,0.991379310344828
103,1,0,0.976744186046512,0.666666666666667,0,1,0.8,0,0.988235294117647
104,0,0.333333333333333,1,0,1,0.966666666666667,0,0.5,0.983050847457627
105,1,0,0.967479674796748,0.5,0,1,0.666666666666667,0,0.983471074380165
106,0.8,0,0.972477064220184,0.666666666666667,0,1,0.727272727272727,0,0.986046511627907
107,0.75,0,0.966942148760331,0.6,0,1,0.666666666666667,0,0.983193277310924
108,0.666666666666667,0,0.944444444444444,0.5,0,1,0.571428571428572,0,0.971428571428571
109,0,0,0.892561983471074,0,0,1,0,0,0.943231441048035
110,0.75,0,0.964601769911504,0.75,0,1,0.75,0,0.981981981981982
111,0.5,0,0.972972972972973,0.666666666666667,0,1,0.571428571428572,0,0.986301369863014
112,0.5,0,0.968253968253968,0.5,0,1,0.5,0,0.983870967741935
113,1,0.625,0.981308411214953,0.142857142857143,0.833333333333333,1,0.25,0.714285714285714,0.990566037735849
114,0,0.411764705882353,0.991071428571429,0,0.875,1,0,0.56,0.995515695067265
115,0.8,0,0.938053097345133,0.666666666666667,0,1,0.727272727272727,0,0.968036529680365
116,0.8,0,0.966386554621849,0.571428571428571,0,1,0.666666666666667,0,0.982905982905983
117,0,0.647058823529412,0.990654205607477,0,0.916666666666667,1,0,0.758620689655172,0.995305164319249
118,0.6,0.8,0.985185185185185,0.6,0.666666666666667,1,0.6,0.727272727272727,0.992537313432836
119,1,0.727272727272727,0.972972972972973,0.4,0.727272727272727,1,0.571428571428572,0.727272727272727,0.986301369863014
120,0,0.555555555555556,0.991735537190083,0,0.9375,1,0,0.697674418604651,0.995850622406639
121,0.8,0,0.968,0.571428571428571,0,1,0.666666666666667,0,0.983739837398374
122,0,0.636363636363636,1,0,1,0.983471074380165,0,0.777777777777778,0.991666666666667
123,0.555555555555556,1,0.982300884955752,0.833333333333333,0.5,1,0.666666666666667,0.666666666666667,0.991071428571429
124,1,0,0.975609756097561,0.8,0,1,0.888888888888889,0,0.987654320987654
125,1,0,0.943548387096774,0.333333333333333,0,1,0.5,0,0.970954356846473
126,1,0,0.974789915966387,0.625,0,1,0.769230769230769,0,0.987234042553191
127,0.666666666666667,1,0.990990990990991,1,0.571428571428571,1,0.8,0.727272727272727,0.995475113122172
128,0.75,0,0.949579831932773,0.5,0,1,0.6,0,0.974137931034483
129,1,0,0.944,0.444444444444444,0,1,0.615384615384615,0,0.97119341563786
130,0.5,0.75,0.990740740740741,0.75,0.428571428571429,1,0.6,0.545454545454545,0.995348837209302
131,1,0.625,0.989795918367347,0.142857142857143,0.909090909090909,1,0.25,0.740740740740741,0.994871794871795
132,1,0,0.921985815602837,0.222222222222222,0,1,0.363636363636364,0,0.959409594095941
133,0,0,0.893939393939394,0,0,1,0,0,0.944
134,1,0.692307692307692,0.991304347826087,0.428571428571429,0.9,1,0.6,0.782608695652174,0.995633187772926
135,0.8,0,0.957264957264957,0.666666666666667,0,1,0.727272727272727,0,0.978165938864629
136,0.833333333333333,0,0.964601769911504,0.714285714285714,0,1,0.769230769230769,0,0.981981981981982
137,1,0.777777777777778,1,0.2,1,1,0.333333333333333,0.875,1
138,1,0,0.990909090909091,1,0,1,1,0,0.995433789954338
139,0.8,0,0.971698113207547,0.8,0,1,0.8,0,0.985645933014354
140,1,0,0.953488372093023,0.625,0,1,0.769230769230769,0,0.976190476190476
141,0.875,0,0.976744186046512,0.777777777777778,0,1,0.823529411764706,0,0.988235294117647
142,0,0,0.870967741935484,0,0,1,0,0,0.931034482758621
143,1,0,0.990909090909091,1,0,1,1,0,0.995433789954338
144,0.5,0,0.931034482758621,1,0,1,0.666666666666667,0,0.964285714285714
145,0,0.6,0.983739837398374,0,0.857142857142857,1,0,0.705882352941176,0.991803278688525
146,0,0.8,0.992,0,0.923076923076923,1,0,0.857142857142857,0.995983935742972
147,1,0,0.96031746031746,0.375,0,1,0.545454545454545,0,0.979757085020243
148,0.714285714285714,0.875,0.942307692307692,0.833333333333333,0.466666666666667,1,0.769230769230769,0.608695652173913,0.97029702970297
149,1,0,0.929133858267717,0.5,0,1,0.666666666666667,0,0.963265306122449
150,0.625,1,0.981818181818182,1,0.5,1,0.769230769230769,0.666666666666667,0.990825688073394
151,0.666666666666667,0,0.957627118644068,0.5,0,1,0.571428571428572,0,0.978354978354978
152,0.333333333333333,0.888888888888889,0.991596638655462,0.5,0.727272727272727,1,0.4,0.8,0.9957805907173
153,1,0.785714285714286,0.981651376146789,0.4,0.846153846153846,1,0.571428571428572,0.814814814814815,0.990740740740741
154,0,0.523809523809524,0.991735537190083,0,0.916666666666667,0.983606557377049,0,0.666666666666667,0.987654320987654
155,0,0.411764705882353,0.991071428571429,0,0.875,1,0,0.56,0.995515695067265
156,0.285714285714286,1,0.975409836065574,1,0.384615384615385,1,0.444444444444444,0.555555555555556,0.987551867219917
157,0,0.523809523809524,1,0,1,1,0,0.6875,1
158,0,0.466666666666667,0.991869918699187,0,0.875,1,0,0.608695652173913,0.995918367346939
159,1,0,0.964285714285714,0.5,0,1,0.666666666666667,0,0.981818181818182
160,1,0,0.96551724137931,0.5,0,1,0.666666666666667,0,0.982456140350877
161,0,0.727272727272727,0.992125984251969,0,0.888888888888889,1,0,0.8,0.99604743083004
162,0.75,0,0.966386554621849,0.857142857142857,0,1,0.8,0,0.982905982905983
163,0.4,0,0.943089430894309,1,0,1,0.571428571428572,0,0.97071129707113
164,0.75,0,0.936936936936937,0.6,0,1,0.666666666666667,0,0.967441860465116
165,0.857142857142857,0,0.963636363636364,1,0,1,0.923076923076923,0,0.981481481481482
166,1,0,0.975609756097561,0.666666666666667,0,1,0.8,0,0.987654320987654
167,1,0.722222222222222,0.972972972972973,0.166666666666667,0.8125,1,0.285714285714286,0.764705882352941,0.986301369863014
168,0,0,0.868217054263566,0,0,1,0,0,0.929460580912863
169,1,0.571428571428571,0.977611940298508,0.142857142857143,0.727272727272727,1,0.25,0.64,0.988679245283019
170,0.75,0,0.975609756097561,0.6,0,1,0.666666666666667,0,0.987654320987654
171,1,0.6,0.983050847457627,0.333333333333333,0.75,1,0.5,0.666666666666667,0.991452991452991
172,0.75,0,0.982456140350877,0.857142857142857,0,1,0.8,0,0.991150442477876
173,1,0,0.982142857142857,0.857142857142857,0,1,0.923076923076923,0,0.990990990990991
174,1,0,0.983193277310924,1,0,1,1,0,0.991525423728813
175,0.888888888888889,0,0.974576271186441,0.888888888888889,0,1,0.888888888888889,0,0.987124463519313
176,1,0.666666666666667,0.976190476190476,0.2,0.727272727272727,1,0.333333333333333,0.695652173913043,0.987951807228916
177,1,0,0.958677685950413,0.2,0,1,0.333333333333333,0,0.978902953586498
178,1,0.583333333333333,0.990909090909091,0.285714285714286,0.875,1,0.444444444444444,0.7,0.995433789954338
179,0.666666666666667,0,0.957264957264957,0.5,0,1,0.571428571428572,0,0.978165938864629
180,0.6,0.714285714285714,0.982905982905983,0.6,0.714285714285714,0.982905982905983,0.6,0.714285714285714,0.982905982905983
181,1,0,0.959677419354839,0.5,0,1,0.666666666666667,0,0.979423868312757
182,0.666666666666667,0.625,0.992248062015504,0.4,0.714285714285714,1,0.5,0.666666666666667,0.996108949416342
183,1,0,0.983193277310924,0.666666666666667,0,1,0.8,0,0.991525423728813
184,0.833333333333333,0,0.964912280701754,0.714285714285714,0,1,0.769230769230769,0,0.982142857142857
185,0.875,0,0.973451327433628,0.777777777777778,0,1,0.823529411764706,0,0.986547085201794
186,0.666666666666667,0,0.974137931034483,0.8,0,1,0.727272727272727,0,0.986899563318777
187,0.666666666666667,0,0.975409836065574,0.5,0,1,0.571428571428572,0,0.987551867219917
188,1,0,0.982456140350877,1,0,1,1,0,0.991150442477876
189,0,0.470588235294118,1,0,1,1,0,0.64,1
190,1,0,0.948275862068966,0.571428571428571,0,1,0.727272727272727,0,0.973451327433628
191,0,0,0.931623931623932,0,0,1,0,0,0.964601769911504
192,1,0.421052631578947,0.990291262135922,0.25,0.888888888888889,0.953271028037383,0.4,0.571428571428571,0.971428571428571
193,0.6,0,0.991071428571429,0.75,0,1,0.666666666666667,0,0.995515695067265
194,0.833333333333333,0,0.929203539823009,0.714285714285714,0,1,0.769230769230769,0,0.963302752293578
195,0.5,0,0.976190476190476,1,0,1,0.666666666666667,0,0.987951807228916
196,0.857142857142857,0,0.990909090909091,1,0,1,0.923076923076923,0,0.995433789954338
197,0.666666666666667,0,0.966101694915254,0.8,0,1,0.727272727272727,0,0.982758620689655
198,1,0,0.968503937007874,0.666666666666667,0,1,0.8,0,0.984
