Iteration,Accuracy,MacroPrecision,MacroRecall,MacroF1,ArterialPrecision,PortalVenousPrecision,PreContrastPrecision,ArterialRecall,PortalVenousRecall,PreContrastRecall,ArterialF1,PortalVenousF1,PreContrastF1,WeightedPrecision,WeightedRecall,WeightedF1,BalancedAccuracy,CohensKappa,Phase1_Count,Phase1_Accuracy,Phase2_Count,Phase2_Accuracy,Phase3_Count,Phase3_Accuracy,AortaMultiplier,PortalVeinMultiplier,AortaCutoff,PortalVeinCutoff,BoundaryHits,TrainArterial,TrainPortalVenous,TrainPreContrast,TestArterial,TestPortalVenous,TestPreContrast
11,0.970491803278689,0.972460523836442,0.960089399744572,0.966235365216719,0.982758620689655,0.942622950819672,0.992,0.904761904761905,0.991379310344828,0.984126984126984,0.942148760330578,0.966386554621849,0.98804780876494,0.971311657044361,0.970491803278689,0.970328643086372,0.960089399744572,0.953841497250668,52,0.980769230769231,112,0.982142857142857,141,0.957446808510638,1.03,0.13,157.35,97.195,0,344,556,526,126,232,252
12,0.983606557377049,0.983711080586081,0.981321937030598,0.982515056413678,0.984615384615385,0.982142857142857,0.984375,0.96969696969697,0.982142857142857,0.992125984251969,0.977099236641221,0.982142857142857,0.988235294117647,0.983607345523329,0.983606557377049,0.983588301545121,0.981321937030598,0.974555768749479,54,1,117,0.982905982905983,134,0.977611940298508,0.96,-0.13,157.28,86.2075,0,338,564,524,132,224,254
13,0.99016393442623,0.989458333333333,0.987055417700579,0.988255414863435,0.984375,0.984,1,0.969230769230769,0.991935483870968,1,0.976744186046512,0.987951807228916,1,0.990165163934426,0.990163934426229,0.99014556127675,0.987055417700579,0.984726835700813,54,1,133,0.977443609022556,118,1,0.84,-0.15,157.14,86.3,0,340,540,546,130,248,232
14,0.967213114754098,0.967739638228173,0.962325358802431,0.965024904361285,0.970588235294118,0.949579831932773,0.983050847457627,0.929577464788732,0.982608695652174,0.974789915966387,0.949640287769784,0.965811965811966,0.978902953586498,0.967529495821668,0.967213114754098,0.967155042546964,0.962325358802431,0.949561766165041,57,0.982456140350877,122,0.950819672131147,126,0.976190476190476,0.84,-0.0800000000000001,157.48,83.22,0,328,558,540,142,230,238
15,0.963934426229508,0.955438415081899,0.963452503935458,0.959428724419801,0.915254237288136,0.974137931034483,0.976923076923077,0.964285714285714,0.933884297520661,0.9921875,0.939130434782609,0.953586497890295,0.984496124031008,0.964495346850694,0.963934426229508,0.963904178585314,0.963452503935458,0.943178931323567,48,1,117,0.974358974358974,140,0.942857142857143,0.86,0.0600000000000001,157.94,93.15,0,358,546,522,112,242,256
16,0.983606557377049,0.981255301102629,0.978124027324246,0.979687162177376,0.966666666666667,0.977099236641221,1,0.950819672131147,0.992248062015504,0.991304347826087,0.958677685950413,0.984615384615385,0.995633187772926,0.98364743669962,0.983606557377049,0.983582098531955,0.978124027324246,0.974307567895411,50,0.98,129,0.992248062015504,126,0.976190476190476,0.99,0.0700000000000001,157.61,97.28,0,348,530,548,122,258,230
17,0.983606557377049,0.986568986568987,0.9805020947724,0.983526184837948,1,0.969230769230769,0.990476190476191,0.958904109589041,0.992125984251969,0.990476190476191,0.979020979020979,0.980544747081712,0.990476190476191,0.98390920554855,0.983606557377049,0.983599063435767,0.9805020947724,0.974743292480954,59,1,136,0.970588235294118,110,0.990909090909091,0.89,-0.12,166.82,86.5,0,324,534,568,146,254,210
18,0.957377049180328,0.959129671771088,0.948338750451426,0.953703687936779,0.969230769230769,0.954887218045113,0.953271028037383,0.887323943661972,0.976923076923077,0.980769230769231,0.926470588235294,0.965779467680608,0.966824644549763,0.957675114351269,0.957377049180328,0.956985264250362,0.948338750451426,0.933907854380584,47,0.978723404255319,145,0.958620689655172,113,0.946902654867257,1.02,-0.0999999999999999,166.53,86.2,0,328,528,570,142,260,208
19,0.967213114754098,0.969939393939394,0.953479726316756,0.961639133288861,0.981818181818182,0.936,0.992,0.885245901639344,0.983193277310924,0.992,0.931034482758621,0.959016393442623,0.992,0.968114456035768,0.967213114754098,0.966937882845731,0.953479726316756,0.948453608247423,47,1,114,0.973684210526316,144,0.951388888888889,0.86,0.15,157.06,100.45,0,348,550,528,122,238,250
20,0.973770491803279,0.97392520497663,0.970717531612224,0.97231872277805,0.971830985915493,0.968992248062015,0.980952380952381,0.945205479452055,0.9765625,0.990384615384615,0.958333333333333,0.972762645914397,0.985645933014354,0.973749892927267,0.973770491803279,0.973702062438915,0.970717531612224,0.959609336202615,61,0.983606557377049,125,0.976,119,0.966386554621849,0.89,0.0900000000000001,157.59,97.27,0,324,532,570,146,256,208
